"Date","Court","Phase","Division","Group","Round","Home Team","Home Score","Away Team","Away Score","Referees","End Time"
"2026-06-20 09:00 am","Court 1","Group Phase","Comp Mixed - 7"" Foam","Group A","1","Black Panther","undefined","Proud Family","undefined","Sister Sister","2026-06-20 09:25"
"2026-06-20 09:00 am","Court 2","Group Phase","Comp Mixed - 7"" Foam","Group A","1","Fresh Prince","undefined","Family Matters","undefined","Abbott Elementary","2026-06-20 09:25"
"2026-06-20 09:00 am","Court 3","Group Phase","Comp Mixed - 7"" Foam","Group A","1","Fillmore","undefined","That's So Raven","undefined","Martin","2026-06-20 09:25"
"2026-06-20 09:00 am","Court 4","Group Phase","Comp Mixed - 7"" Foam","Group A","1","Smart Guy","undefined","The Boondocks","undefined","Kenan & Kel","2026-06-20 09:25"
"2026-06-20 09:25 am","Court 1","Group Phase","Comp Mixed - 7"" Foam","Group A","2","The Cleveland Show","undefined","The Parkers","undefined","Fresh Prince","2026-06-20 09:50"
"2026-06-20 09:25 am","Court 2","Group Phase","Comp Mixed - 7"" Foam","Group A","2","Sister Sister","undefined","Static Shock","undefined","Fillmore","2026-06-20 09:50"
"2026-06-20 09:25 am","Court 3","Group Phase","Comp Mixed - 7"" Foam","Group A","2","Abbott Elementary","undefined","The Incredibles","undefined","Family Matters","2026-06-20 09:50"
"2026-06-20 09:25 am","Court 4","Group Phase","Comp Mixed - 7"" Foam","Group A","2","Martin","undefined","Kenan & Kel","undefined","The Boondocks","2026-06-20 09:50"
"2026-06-20 10:00 am","Court 1","Group Phase","Comp Mixed - 7"" Foam","Group A","3","Fresh Prince","undefined","Sister Sister","undefined","The Parkers","2026-06-20 10:25"
"2026-06-20 10:00 am","Court 2","Group Phase","Comp Mixed - 7"" Foam","Group A","3","Family Matters","undefined","Static Shock","undefined","Smart Guy","2026-06-20 10:25"
"2026-06-20 10:00 am","Court 3","Group Phase","Comp Mixed - 7"" Foam","Group A","3","Kenan & Kel","undefined","The Boondocks","undefined","Proud Family","2026-06-20 10:25"
